"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Italy (IT)","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","n/e","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","284","n/e","n/e","N/A","3026","739","5","n/e","n/e","667","183","383","1939","140","n/e","n/e","8305","n/e","1","55","n/e","2223"
"Italy (IT)","02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","282","n/e","n/e","N/A","2896","560","1","n/e","n/e","658","0","644","1743","97","n/e","n/e","7824","n/e","1","57","n/e","2326"
"Italy (IT)","02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","284","n/e","n/e","N/A","2804","467","1","n/e","n/e","660","0","1203","1624","78","n/e","n/e","7541","n/e","1","58","n/e","2487"
"Italy (IT)","02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","277","n/e","n/e","N/A","2787","467","1","n/e","n/e","668","0","1569","1556","76","n/e","n/e","7423","n/e","1","59","n/e","2820"
"Italy (IT)","02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","283","n/e","n/e","N/A","2685","467","7","n/e","n/e","668","0","2098","1533","77","n/e","n/e","7544","n/e","1","58","n/e","3091"
"Italy (IT)","02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","288","n/e","n/e","N/A","3093","472","50","n/e","n/e","668","0","1670","1638","101","n/e","n/e","7923","n/e","0","54","n/e","2902"
"Italy (IT)","02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","290","n/e","n/e","N/A","3990","473","102","n/e","n/e","668","0","616","1840","239","n/e","n/e","8595","n/e","0","55","n/e","2677"
"Italy (IT)","02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","287","n/e","n/e","N/A","4466","542","112","n/e","n/e","668","569","4","2527","466","n/e","n/e","9435","n/e","49","53","n/e","2755"
"Italy (IT)","02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","N/A","n/e","n/e","N/A","N/A","N/A","N/A","N/A","n/e","n/e","N/A","n/e","N/A","N/A","n/e","N/A"
"Italy (IT)","02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","300","n/e","n/e","N/A","4561","575","201","n/e","n/e","668","1238","2","3500","635","n/e","n/e","9644","n/e","2824","58","n/e","2651"
"Italy (IT)","02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","287","n/e","n/e","N/A","4800","511","271","n/e","n/e","665","1261","36","3436","592","n/e","n/e","8976","n/e","4737","55","n/e","2607"
"Italy (IT)","02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","299","n/e","n/e","N/A","4754","502","325","n/e","n/e","662","439","48","3006","446","n/e","n/e","8826","n/e","5997","54","n/e","2484"
"Italy (IT)","02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","301","n/e","n/e","N/A","4683","521","331","n/e","n/e","662","420","2","2609","348","n/e","n/e","8793","n/e","5958","55","n/e","2507"
"Italy (IT)","02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","301","n/e","n/e","N/A","4768","522","331","n/e","n/e","662","225","2","2460","360","n/e","n/e","8809","n/e","5122","56","n/e","2270"
"Italy (IT)","02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","291","n/e","n/e","N/A","5326","597","331","n/e","n/e","665","16","2","2711","468","n/e","n/e","10037","n/e","3655","56","n/e","2060"
"Italy (IT)","02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","288","n/e","n/e","N/A","6363","784","332","n/e","n/e","662","25","2","3350","736","n/e","n/e","11234","n/e","1639","56","n/e","1879"
"Italy (IT)","02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","286","n/e","n/e","N/A","7164","807","357","n/e","n/e","642","219","","4781","989","n/e","n/e","12021","n/e","187","58","n/e","1825"
"Italy (IT)","02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","293","n/e","n/e","N/A","7681","806","371","n/e","n/e","637","1521","","6077","1396","n/e","n/e","12301","n/e","0","48","n/e","1844"
"Italy (IT)","02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST)","287","n/e","n/e","N/A","7294","803","371","n/e","n/e","654","1460","","5945","1293","n/e","n/e","12266","n/e","0","47","n/e","1766"
"Italy (IT)","02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST)","284","n/e","n/e","N/A","7253","806","369","n/e","n/e","665","1489","","5401","1175","n/e","n/e","12449","n/e","0","42","n/e","1668"
"Italy (IT)","02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST)","295","n/e","n/e","N/A","7097","807","332","n/e","n/e","664","1028","","4590","658","n/e","n/e","11606","n/e","0","49","n/e","1623"
"Italy (IT)","02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST)","293","n/e","n/e","N/A","5754","809","291","n/e","n/e","663","927","2","3863","564","n/e","n/e","10849","n/e","1","58","n/e","1630"
"Italy (IT)","02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST)","293","n/e","n/e","N/A","4926","808","170","n/e","n/e","662","255","2","2909","395","n/e","n/e","10696","n/e","1","60","n/e","1688"
"Italy (IT)","02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST)","293","n/e","n/e","N/A","3840","808","213","n/e","n/e","662","30","6","2407","428","n/e","n/e","10229","n/e","1","60","n/e","1832"
"Italy (IT)","03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST)","294","n/e","n/e","N/A","3117","767","155","n/e","n/e","661","4","174","1939","135","n/e","n/e","9564","n/e","1","57","n/e","1900"
"Italy (IT)","03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST)","296","n/e","n/e","N/A","2925","693","138","n/e","n/e","669","16","396","1739","93","n/e","n/e","8522","n/e","1","58","n/e","1908"
"Italy (IT)","03.01.2015 02:00 - 03.01.2015 03:00 (CET/CEST)","294","n/e","n/e","N/A","2907","632","138","n/e","n/e","670","0","641","1581","101","n/e","n/e","7867","n/e","1","57","n/e","1901"
"Italy (IT)","03.01.2015 03:00 - 03.01.2015 04:00 (CET/CEST)","295","n/e","n/e","N/A","3010","577","136","n/e","n/e","671","0","954","1511","77","n/e","n/e","7924","n/e","1","58","n/e","1858"
"Italy (IT)","03.01.2015 04:00 - 03.01.2015 05:00 (CET/CEST)","291","n/e","n/e","N/A","3021","498","9","n/e","n/e","670","0","951","1451","76","n/e","n/e","7856","n/e","0","60","n/e","1892"
"Italy (IT)","03.01.2015 05:00 - 03.01.2015 06:00 (CET/CEST)","292","n/e","n/e","N/A","3090","623","1","n/e","n/e","670","0","946","1486","93","n/e","n/e","8353","n/e","0","54","n/e","2065"
"Italy (IT)","03.01.2015 06:00 - 03.01.2015 07:00 (CET/CEST)","279","n/e","n/e","N/A","3483","777","1","n/e","n/e","670","151","507","1725","247","n/e","n/e","9014","n/e","0","56","n/e","2165"
"Italy (IT)","03.01.2015 07:00 - 03.01.2015 08:00 (CET/CEST)","277","n/e","n/e","N/A","3721","807","1","n/e","n/e","671","338","2","2403","550","n/e","n/e","10000","n/e","28","54","n/e","2219"
"Italy (IT)","03.01.2015 08:00 - 03.01.2015 09:00 (CET/CEST)","274","n/e","n/e","N/A","3912","811","1","n/e","n/e","670","354","2","3073","680","n/e","n/e","10259","n/e","866","56","n/e","2181"
"Italy (IT)","03.01.2015 09:00 - 03.01.2015 10:00 (CET/CEST)","279","n/e","n/e","N/A","4150","810","1","n/e","n/e","670","421","2","3146","699","n/e","n/e","10231","n/e","2582","52","n/e","2301"
"Italy (IT)","03.01.2015 10:00 - 03.01.2015 11:00 (CET/CEST)","287","n/e","n/e","N/A","4014","811","7","n/e","n/e","671","188","2","3074","734","n/e","n/e","10239","n/e","4009","55","n/e","2532"
"Italy (IT)","03.01.2015 11:00 - 03.01.2015 12:00 (CET/CEST)","286","n/e","n/e","N/A","3599","800","46","n/e","n/e","673","64","2","2699","340","n/e","n/e","9470","n/e","4881","56","n/e","3019"
"Italy (IT)","03.01.2015 12:00 - 03.01.2015 13:00 (CET/CEST)","291","n/e","n/e","N/A","3473","665","91","n/e","n/e","673","19","2","2258","203","n/e","n/e","8882","n/e","5035","55","n/e","3328"
"Italy (IT)","03.01.2015 13:00 - 03.01.2015 14:00 (CET/CEST)","294","n/e","n/e","N/A","3355","494","118","n/e","n/e","673","21","2","2179","192","n/e","n/e","8467","n/e","4434","52","n/e","3654"
"Italy (IT)","03.01.2015 14:00 - 03.01.2015 15:00 (CET/CEST)","294","n/e","n/e","N/A","3611","485","119","n/e","n/e","673","159","2","2367","262","n/e","n/e","9025","n/e","2777","52","n/e","3991"
"Italy (IT)","03.01.2015 15:00 - 03.01.2015 16:00 (CET/CEST)","294","n/e","n/e","N/A","4312","523","159","n/e","n/e","673","318","2","2851","469","n/e","n/e","9477","n/e","1284","51","n/e","4272"
"Italy (IT)","03.01.2015 16:00 - 03.01.2015 17:00 (CET/CEST)","292","n/e","n/e","N/A","4810","681","247","n/e","n/e","673","429","2","3965","702","n/e","n/e","10327","n/e","150","50","n/e","4527"
"Italy (IT)","03.01.2015 17:00 - 03.01.2015 18:00 (CET/CEST)","293","n/e","n/e","N/A","5242","808","254","n/e","n/e","672","647","2","4974","993","n/e","n/e","11654","n/e","0","49","n/e","4531"
"Italy (IT)","03.01.2015 18:00 - 03.01.2015 19:00 (CET/CEST)","285","n/e","n/e","N/A","5337","803","253","n/e","n/e","673","861","2","4978","801","n/e","n/e","11614","n/e","0","51","n/e","4570"
"Italy (IT)","03.01.2015 19:00 - 03.01.2015 20:00 (CET/CEST)","286","n/e","n/e","N/A","4621","751","254","n/e","n/e","674","1470","2","4568","674","n/e","n/e","10473","n/e","0","48","n/e","4955"
"Italy (IT)","03.01.2015 20:00 - 03.01.2015 21:00 (CET/CEST)","286","n/e","n/e","N/A","4071","642","255","n/e","n/e","677","1406","2","3956","518","n/e","n/e","9670","n/e","0","51","n/e","5152"
"Italy (IT)","03.01.2015 21:00 - 03.01.2015 22:00 (CET/CEST)","287","n/e","n/e","N/A","3648","600","253","n/e","n/e","675","723","4","3295","372","n/e","n/e","9062","n/e","1","50","n/e","5240"
"Italy (IT)","03.01.2015 22:00 - 03.01.2015 23:00 (CET/CEST)","276","n/e","n/e","N/A","3394","503","256","n/e","n/e","674","612","4","2544","237","n/e","n/e","8453","n/e","1","50","n/e","5275"
"Italy (IT)","03.01.2015 23:00 - 04.01.2015 00:00 (CET/CEST)","276","n/e","n/e","N/A","3560","468","255","n/e","n/e","671","193","4","2111","245","n/e","n/e","7802","n/e","1","52","n/e","5647"
"Italy (IT)","04.01.2015 00:00 - 04.01.2015 01:00 (CET/CEST)","273","n/e","n/e","N/A","3350","467","66","n/e","n/e","671","7","68","1743","99","n/e","n/e","6929","n/e","1","47","n/e","5790"
"Italy (IT)","04.01.2015 01:00 - 04.01.2015 02:00 (CET/CEST)","274","n/e","n/e","N/A","3070","464","60","n/e","n/e","671","0","833","1659","87","n/e","n/e","6539","n/e","1","45","n/e","5918"
"Italy (IT)","04.01.2015 02:00 - 04.01.2015 03:00 (CET/CEST)","279","n/e","n/e","N/A","2835","469","59","n/e","n/e","671","0","1633","1573","87","n/e","n/e","6648","n/e","1","52","n/e","5747"
"Italy (IT)","04.01.2015 03:00 - 04.01.2015 04:00 (CET/CEST)","275","n/e","n/e","N/A","2868","467","60","n/e","n/e","671","0","1630","1492","87","n/e","n/e","6825","n/e","1","49","n/e","5439"
"Italy (IT)","04.01.2015 04:00 - 04.01.2015 05:00 (CET/CEST)","282","n/e","n/e","N/A","2712","467","60","n/e","n/e","671","0","1627","1470","87","n/e","n/e","6525","n/e","0","46","n/e","5379"
"Italy (IT)","04.01.2015 05:00 - 04.01.2015 06:00 (CET/CEST)","272","n/e","n/e","N/A","2826","467","60","n/e","n/e","671","0","1624","1516","87","n/e","n/e","6525","n/e","0","48","n/e","5167"
"Italy (IT)","04.01.2015 06:00 - 04.01.2015 07:00 (CET/CEST)","275","n/e","n/e","N/A","3250","481","68","n/e","n/e","672","0","1302","1573","108","n/e","n/e","7041","n/e","0","50","n/e","4689"
"Italy (IT)","04.01.2015 07:00 - 04.01.2015 08:00 (CET/CEST)","272","n/e","n/e","N/A","3046","617","83","n/e","n/e","673","49","345","2003","318","n/e","n/e","7748","n/e","54","49","n/e","4081"
"Italy (IT)","04.01.2015 08:00 - 04.01.2015 09:00 (CET/CEST)","274","n/e","n/e","N/A","2778","704","91","n/e","n/e","672","402","194","2603","424","n/e","n/e","7852","n/e","853","47","n/e","3518"
"Italy (IT)","04.01.2015 09:00 - 04.01.2015 10:00 (CET/CEST)","279","n/e","n/e","N/A","2751","798","145","n/e","n/e","670","345","99","2777","475","n/e","n/e","8049","n/e","2489","40","n/e","3104"
"Italy (IT)","04.01.2015 10:00 - 04.01.2015 11:00 (CET/CEST)","283","n/e","n/e","N/A","2909","788","187","n/e","n/e","670","340","98","2510","444","n/e","n/e","7541","n/e","3938","45","n/e","2898"
"Italy (IT)","04.01.2015 11:00 - 04.01.2015 12:00 (CET/CEST)","283","n/e","n/e","N/A","3044","737","196","n/e","n/e","670","471","126","2285","378","n/e","n/e","7095","n/e","4875","44","n/e","2854"
"Italy (IT)","04.01.2015 12:00 - 04.01.2015 13:00 (CET/CEST)","290","n/e","n/e","N/A","3197","535","185","n/e","n/e","667","156","259","2052","179","n/e","n/e","7097","n/e","5218","42","n/e","3030"
"Italy (IT)","04.01.2015 13:00 - 04.01.2015 14:00 (CET/CEST)","295","n/e","n/e","N/A","3103","471","141","n/e","n/e","672","25","259","1961","152","n/e","n/e","6765","n/e","4914","40","n/e","3240"
"Italy (IT)","04.01.2015 14:00 - 04.01.2015 15:00 (CET/CEST)","298","n/e","n/e","N/A","3314","468","138","n/e","n/e","673","27","357","2138","215","n/e","n/e","6928","n/e","3527","38","n/e","3475"
"Italy (IT)","04.01.2015 15:00 - 04.01.2015 16:00 (CET/CEST)","299","n/e","n/e","N/A","3530","537","143","n/e","n/e","674","513","5","2614","311","n/e","n/e","7604","n/e","1480","35","n/e","3670"
"Italy (IT)","04.01.2015 16:00 - 04.01.2015 17:00 (CET/CEST)","297","n/e","n/e","N/A","4019","677","182","n/e","n/e","674","454","4","3812","601","n/e","n/e","8518","n/e","199","37","n/e","3434"
"Italy (IT)","04.01.2015 17:00 - 04.01.2015 18:00 (CET/CEST)","297","n/e","n/e","N/A","4504","801","197","n/e","n/e","675","776","2","4927","890","n/e","n/e","9741","n/e","0","38","n/e","3176"
"Italy (IT)","04.01.2015 18:00 - 04.01.2015 19:00 (CET/CEST)","295","n/e","n/e","N/A","4684","812","197","n/e","n/e","674","682","2","5084","1034","n/e","n/e","10363","n/e","0","37","n/e","2951"
"Italy (IT)","04.01.2015 19:00 - 04.01.2015 20:00 (CET/CEST)","295","n/e","n/e","N/A","4723","811","196","n/e","n/e","673","1062","59","4971","1124","n/e","n/e","10429","n/e","0","35","n/e","3187"
"Italy (IT)","04.01.2015 20:00 - 04.01.2015 21:00 (CET/CEST)","295","n/e","n/e","N/A","4595","809","197","n/e","n/e","675","1062","85","4506","1052","n/e","n/e","10020","n/e","0","37","n/e","3428"
"Italy (IT)","04.01.2015 21:00 - 04.01.2015 22:00 (CET/CEST)","297","n/e","n/e","N/A","4163","810","197","n/e","n/e","677","765","85","3793","705","n/e","n/e","9474","n/e","0","39","n/e","3415"
"Italy (IT)","04.01.2015 22:00 - 04.01.2015 23:00 (CET/CEST)","297","n/e","n/e","N/A","3845","808","197","n/e","n/e","680","174","66","2931","564","n/e","n/e","9066","n/e","0","38","n/e","3271"
"Italy (IT)","04.01.2015 23:00 - 05.01.2015 00:00 (CET/CEST)","297","n/e","n/e","N/A","3661","802","195","n/e","n/e","679","193","7","2457","313","n/e","n/e","9022","n/e","0","39","n/e","3201"
"Italy (IT)","05.01.2015 00:00 - 05.01.2015 01:00 (CET/CEST)","300","n/e","n/e","N/A","3676","787","65","n/e","n/e","679","0","186","1791","163","n/e","n/e","7880","n/e","0","37","n/e","3509"
"Italy (IT)","05.01.2015 01:00 - 05.01.2015 02:00 (CET/CEST)","295","n/e","n/e","N/A","3576","672","60","n/e","n/e","680","0","519","1656","108","n/e","n/e","7066","n/e","0","39","n/e","3618"
"Italy (IT)","05.01.2015 02:00 - 05.01.2015 03:00 (CET/CEST)","299","n/e","n/e","N/A","3595","533","35","n/e","n/e","681","0","1400","1631","109","n/e","n/e","6855","n/e","0","38","n/e","3633"
"Italy (IT)","05.01.2015 03:00 - 05.01.2015 04:00 (CET/CEST)","286","n/e","n/e","N/A","3655","467","1","n/e","n/e","681","0","1674","1594","109","n/e","n/e","6940","n/e","0","35","n/e","3318"
"Italy (IT)","05.01.2015 04:00 - 05.01.2015 05:00 (CET/CEST)","279","n/e","n/e","N/A","3901","469","1","n/e","n/e","681","0","1845","1525","109","n/e","n/e","7249","n/e","0","35","n/e","3179"
"Italy (IT)","05.01.2015 05:00 - 05.01.2015 06:00 (CET/CEST)","275","n/e","n/e","N/A","4148","564","2","n/e","n/e","681","0","1698","1535","118","n/e","n/e","7874","n/e","0","32","n/e","3585"
"Italy (IT)","05.01.2015 06:00 - 05.01.2015 07:00 (CET/CEST)","281","n/e","n/e","N/A","5051","675","16","n/e","n/e","682","0","931","1830","392","n/e","n/e","9153","n/e","0","32","n/e","3293"
"Italy (IT)","05.01.2015 07:00 - 05.01.2015 08:00 (CET/CEST)","287","n/e","n/e","N/A","5407","700","27","n/e","n/e","682","317","2","2530","728","n/e","n/e","9924","n/e","37","36","n/e","3339"
"Italy (IT)","05.01.2015 08:00 - 05.01.2015 09:00 (CET/CEST)","290","n/e","n/e","N/A","5344","801","134","n/e","n/e","680","743","2","3620","924","n/e","n/e","10002","n/e","999","40","n/e","3522"
"Italy (IT)","05.01.2015 09:00 - 05.01.2015 10:00 (CET/CEST)","290","n/e","n/e","N/A","5418","811","186","n/e","n/e","683","742","2","3850","931","n/e","n/e","9895","n/e","2767","35","n/e","3564"
"Italy (IT)","05.01.2015 10:00 - 05.01.2015 11:00 (CET/CEST)","290","n/e","n/e","N/A","4578","800","196","n/e","n/e","682","190","2","3244","818","n/e","n/e","9128","n/e","4889","36","n/e","4550"
"Italy (IT)","05.01.2015 11:00 - 05.01.2015 12:00 (CET/CEST)","294","n/e","n/e","N/A","4226","693","207","n/e","n/e","683","0","545","2668","496","n/e","n/e","8416","n/e","6361","34","n/e","5428"
"Italy (IT)","05.01.2015 12:00 - 05.01.2015 13:00 (CET/CEST)","295","n/e","n/e","N/A","4074","535","222","n/e","n/e","683","0","602","2472","433","n/e","n/e","8020","n/e","6354","35","n/e","5618"
"Italy (IT)","05.01.2015 13:00 - 05.01.2015 14:00 (CET/CEST)","298","n/e","n/e","N/A","3749","468","238","n/e","n/e","682","0","489","2364","418","n/e","n/e","7878","n/e","5747","39","n/e","5723"
"Italy (IT)","05.01.2015 14:00 - 05.01.2015 15:00 (CET/CEST)","294","n/e","n/e","N/A","3897","478","270","n/e","n/e","681","25","186","2373","410","n/e","n/e","8628","n/e","3886","40","n/e","5765"
"Italy (IT)","05.01.2015 15:00 - 05.01.2015 16:00 (CET/CEST)","303","n/e","n/e","N/A","4719","540","329","n/e","n/e","680","985","173","3449","539","n/e","n/e","9470","n/e","1861","38","n/e","5331"
"Italy (IT)","05.01.2015 16:00 - 05.01.2015 17:00 (CET/CEST)","307","n/e","n/e","N/A","5896","625","323","n/e","n/e","680","678","30","4348","877","n/e","n/e","11264","n/e","254","40","n/e","4519"
"Italy (IT)","05.01.2015 17:00 - 05.01.2015 18:00 (CET/CEST)","312","n/e","n/e","N/A","6770","762","297","n/e","n/e","682","873","2","5217","1190","n/e","n/e","12670","n/e","0","44","n/e","3927"
"Italy (IT)","05.01.2015 18:00 - 05.01.2015 19:00 (CET/CEST)","310","n/e","n/e","N/A","6676","777","317","n/e","n/e","683","1345","2","5379","1159","n/e","n/e","12950","n/e","0","49","n/e","3424"
"Italy (IT)","05.01.2015 19:00 - 05.01.2015 20:00 (CET/CEST)","312","n/e","n/e","N/A","6907","780","310","n/e","n/e","682","880","2","4841","915","n/e","n/e","12941","n/e","0","50","n/e","3001"
"Italy (IT)","05.01.2015 20:00 - 05.01.2015 21:00 (CET/CEST)","308","n/e","n/e","N/A","6472","790","293","n/e","n/e","681","882","13","4396","736","n/e","n/e","11493","n/e","0","46","n/e","2929"
"Italy (IT)","05.01.2015 21:00 - 05.01.2015 22:00 (CET/CEST)","309","n/e","n/e","N/A","5414","806","235","n/e","n/e","679","832","54","3869","635","n/e","n/e","10688","n/e","0","50","n/e","3125"
