"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Italy (IT)","21.06.2015 22:00 - 21.06.2015 23:00 (CET/CEST)","278","n/e","n/e","N/A","3591","1427","118","n/e","n/e","629","580","","6142","1471","n/e","n/e","9140","n/e","0","58","n/e","1286"
"Italy (IT)","21.06.2015 23:00 - 22.06.2015 00:00 (CET/CEST)","279","n/e","n/e","N/A","3301","1423","124","n/e","n/e","650","367","","5138","986","n/e","n/e","8628","n/e","0","58","n/e","1257"
"Italy (IT)","22.06.2015 00:00 - 22.06.2015 01:00 (CET/CEST)","277","n/e","n/e","N/A","2987","1446","118","n/e","n/e","651","153","53","4155","514","n/e","n/e","8209","n/e","0","56","n/e","1251"
"Italy (IT)","22.06.2015 01:00 - 22.06.2015 02:00 (CET/CEST)","279","n/e","n/e","N/A","2726","1382","117","n/e","n/e","651","0","271","3684","454","n/e","n/e","7762","n/e","0","58","n/e","1210"
"Italy (IT)","22.06.2015 02:00 - 22.06.2015 03:00 (CET/CEST)","277","n/e","n/e","N/A","2728","1282","88","n/e","n/e","652","0","430","3651","417","n/e","n/e","7380","n/e","0","58","n/e","1176"
"Italy (IT)","22.06.2015 03:00 - 22.06.2015 04:00 (CET/CEST)","278","n/e","n/e","N/A","2805","1182","59","n/e","n/e","652","0","645","3605","407","n/e","n/e","7580","n/e","0","56","n/e","1208"
"Italy (IT)","22.06.2015 04:00 - 22.06.2015 05:00 (CET/CEST)","279","n/e","n/e","N/A","2911","1138","59","n/e","n/e","653","0","646","3680","431","n/e","n/e","7709","n/e","0","56","n/e","1111"
"Italy (IT)","22.06.2015 05:00 - 22.06.2015 06:00 (CET/CEST)","279","n/e","n/e","N/A","2933","1147","59","n/e","n/e","654","0","228","3804","502","n/e","n/e","7428","n/e","8","55","n/e","1059"
"Italy (IT)","22.06.2015 06:00 - 22.06.2015 07:00 (CET/CEST)","277","n/e","n/e","N/A","3691","1143","68","n/e","n/e","653","349","83","4510","710","n/e","n/e","9061","n/e","354","54","n/e","899"
"Italy (IT)","22.06.2015 07:00 - 22.06.2015 08:00 (CET/CEST)","264","n/e","n/e","N/A","4261","1393","77","n/e","n/e","631","450","37","5605","1160","n/e","n/e","10873","n/e","1801","57","n/e","742"
"Italy (IT)","22.06.2015 08:00 - 22.06.2015 09:00 (CET/CEST)","280","n/e","n/e","N/A","4709","1413","64","n/e","n/e","625","1073","","6437","1284","n/e","n/e","11431","n/e","4152","52","n/e","749"
"Italy (IT)","22.06.2015 09:00 - 22.06.2015 10:00 (CET/CEST)","281","n/e","n/e","N/A","4814","1435","69","n/e","n/e","634","745","","6393","1272","n/e","n/e","11486","n/e","6438","54","n/e","789"
"Italy (IT)","22.06.2015 10:00 - 22.06.2015 11:00 (CET/CEST)","279","n/e","n/e","N/A","4580","1391","80","n/e","n/e","622","506","","6028","1208","n/e","n/e","11203","n/e","8192","56","n/e","877"
"Italy (IT)","22.06.2015 11:00 - 22.06.2015 12:00 (CET/CEST)","266","n/e","n/e","N/A","4535","1377","90","n/e","n/e","621","695","","5822","1055","n/e","n/e","10780","n/e","9035","56","n/e","953"
"Italy (IT)","22.06.2015 12:00 - 22.06.2015 13:00 (CET/CEST)","278","n/e","n/e","N/A","4631","1363","158","n/e","n/e","617","455","","4892","913","n/e","n/e","10539","n/e","9501","57","n/e","1039"
"Italy (IT)","22.06.2015 13:00 - 22.06.2015 14:00 (CET/CEST)","278","n/e","n/e","N/A","4394","1276","183","n/e","n/e","614","254","166","4665","846","n/e","n/e","10055","n/e","9740","55","n/e","1257"
"Italy (IT)","22.06.2015 14:00 - 22.06.2015 15:00 (CET/CEST)","278","n/e","n/e","N/A","4808","1208","194","n/e","n/e","622","255","297","5184","1031","n/e","n/e","11004","n/e","8993","51","n/e","1524"
"Italy (IT)","22.06.2015 15:00 - 22.06.2015 16:00 (CET/CEST)","274","n/e","n/e","N/A","4992","858","195","n/e","n/e","621","660","395","5789","1328","n/e","n/e","11209","n/e","7727","52","n/e","1666"
"Italy (IT)","22.06.2015 16:00 - 22.06.2015 17:00 (CET/CEST)","274","n/e","n/e","N/A","5308","1144","194","n/e","n/e","620","1517","305","6319","1412","n/e","n/e","10943","n/e","5602","55","n/e","1590"
"Italy (IT)","22.06.2015 17:00 - 22.06.2015 18:00 (CET/CEST)","276","n/e","n/e","N/A","5562","1390","194","n/e","n/e","624","378","148","6538","1687","n/e","n/e","11972","n/e","4106","55","n/e","1471"
