Date,€/MWh
21/08/2015,45.241742
22/08/2015,46.167057
23/08/2015,43.745152
24/08/2015,50.703565
25/08/2015,48.642768
26/08/2015,51.657984
27/08/2015,49.002372
28/08/2015,53.130410
29/08/2015,48.160130
30/08/2015,48.685776
31/08/2015,56.292076
01/09/2015,60.132190
02/09/2015,58.267711
03/09/2015,56.393921
04/09/2015,55.537410
05/09/2015,52.958341
06/09/2015,44.088484
07/09/2015,53.703800
08/09/2015,51.279763
09/09/2015,51.986522
10/09/2015,50.111008
11/09/2015,54.037220
12/09/2015,47.693872
13/09/2015,44.740010
14/09/2015,49.645900
15/09/2015,51.167680
16/09/2015,51.975313
17/09/2015,57.944602
18/09/2015,50.521360
19/09/2015,45.357656
20/09/2015,40.180721
21/09/2015,43.331940
22/09/2015,51.572245
23/09/2015,48.203776
24/09/2015,47.445013
25/09/2015,47.013929
26/09/2015,41.981482
27/09/2015,37.596977
28/09/2015,44.732432
29/09/2015,46.989317
30/09/2015,45.079318
01/10/2015,46.814412
02/10/2015,51.729854
03/10/2015,43.879451
04/10/2015,41.711850
05/10/2015,46.329455
06/10/2015,47.126057
07/10/2015,45.903735
08/10/2015,49.672505
09/10/2015,48.153803
10/10/2015,39.463036
11/10/2015,37.645143
12/10/2015,48.502677
13/10/2015,50.140999
14/10/2015,50.955483
15/10/2015,49.703701
16/10/2015,54.692244
17/10/2015,44.720723
18/10/2015,42.085274
19/10/2015,54.612745
20/10/2015,53.426341
21/10/2015,52.368203
22/10/2015,47.068800
23/10/2015,48.053416
24/10/2015,45.673707
25/10/2015,42.193935
26/10/2015,50.015504
27/10/2015,52.936135
28/10/2015,54.679650
29/10/2015,50.320840
30/10/2015,46.717744
31/10/2015,40.381778
01/11/2015,36.259455
02/11/2015,46.229122
03/11/2015,48.373090
04/11/2015,51.452015
05/11/2015,52.860513
06/11/2015,49.972550
07/11/2015,44.598517
08/11/2015,37.678415
09/11/2015,55.067176
10/11/2015,60.206204
11/11/2015,57.400100
12/11/2015,58.799445
13/11/2015,59.975755
14/11/2015,46.433870
15/11/2015,46.122067
16/11/2015,57.696196
17/11/2015,60.367120
18/11/2015,72.342972
19/11/2015,72.346468
20/11/2015,61.030063
21/11/2015,43.308268
22/11/2015,41.610816
23/11/2015,71.643992
24/11/2015,68.093745
25/11/2015,64.480197
26/11/2015,60.312665
27/11/2015,60.424206
28/11/2015,58.824290
29/11/2015,50.052225
30/11/2015,58.362396
01/12/2015,65.076065
02/12/2015,69.554722
03/12/2015,62.751084
04/12/2015,68.500962
05/12/2015,66.163112
06/12/2015,53.022450
07/12/2015,55.587555
08/12/2015,50.327650
09/12/2015,61.655133
10/12/2015,57.829705
11/12/2015,57.863395
12/12/2015,56.384925
13/12/2015,49.849499
14/12/2015,60.731384
15/12/2015,64.548542
16/12/2015,69.664744
17/12/2015,63.153702
18/12/2015,63.164311
19/12/2015,54.921020
20/12/2015,47.813641
21/12/2015,57.593763
22/12/2015,54.564999
23/12/2015,52.946376
24/12/2015,47.789177
25/12/2015,40.317169
26/12/2015,39.549723
27/12/2015,48.644393
28/12/2015,47.901243
29/12/2015,45.198737
30/12/2015,43.859293
31/12/2015,48.587376
01/01/2016,44.243070
02/01/2016,46.242435
03/01/2016,36.276046
04/01/2016,43.785290
05/01/2016,43.787645
06/01/2016,46.570287
07/01/2016,53.123431
08/01/2016,49.375533
09/01/2016,42.278687
10/01/2016,36.541912
11/01/2016,43.882625
12/01/2016,47.240695
13/01/2016,45.443518
14/01/2016,48.957267
15/01/2016,44.881190
16/01/2016,43.574422
17/01/2016,38.505689
18/01/2016,50.010101
19/01/2016,64.085168
20/01/2016,62.651426
21/01/2016,60.141080
22/01/2016,53.569567
23/01/2016,45.700304
24/01/2016,41.016962
25/01/2016,47.869110
26/01/2016,47.717791
27/01/2016,47.290170
28/01/2016,47.762797
29/01/2016,47.299183
30/01/2016,42.799963
31/01/2016,28.059205
01/02/2016,42.883826
02/02/2016,44.620332
03/02/2016,40.076032
04/02/2016,37.834334
05/02/2016,39.278226
06/02/2016,40.481737
07/02/2016,37.600632
08/02/2016,39.274690
09/02/2016,37.317477
10/02/2016,34.887964
11/02/2016,37.655776
12/02/2016,38.215160
13/02/2016,31.667943
14/02/2016,34.953852
15/02/2016,39.352372
16/02/2016,40.111987
17/02/2016,39.553115
18/02/2016,38.765543
19/02/2016,36.304293
20/02/2016,35.020260
21/02/2016,27.198890
22/02/2016,36.837590
23/02/2016,36.023549
24/02/2016,36.183473
25/02/2016,37.116882
26/02/2016,37.323307
27/02/2016,34.391349
28/02/2016,27.882420
29/02/2016,33.336340
01/03/2016,34.815049
02/03/2016,35.015785
03/03/2016,32.741645
04/03/2016,35.556881
05/03/2016,34.725282
06/03/2016,34.650504
07/03/2016,37.596513
08/03/2016,39.336430
09/03/2016,37.891543
10/03/2016,40.086613
11/03/2016,36.553666
12/03/2016,34.741335
13/03/2016,30.599318
14/03/2016,34.129932
15/03/2016,40.483565
16/03/2016,42.086087
17/03/2016,36.515125
18/03/2016,37.349432
19/03/2016,33.488080
20/03/2016,31.672190
21/03/2016,34.396523
22/03/2016,34.368814
23/03/2016,33.982639
24/03/2016,31.508179
25/03/2016,31.172533
26/03/2016,38.900477
27/03/2016,33.526007
28/03/2016,33.931543
29/03/2016,35.235236
30/03/2016,32.758688
31/03/2016,31.950255
01/04/2016,33.757985
02/04/2016,35.736168
03/04/2016,33.071566
04/04/2016,34.188887
05/04/2016,31.854301
06/04/2016,30.979748
07/04/2016,29.991223
08/04/2016,30.852460
09/04/2016,29.864929
10/04/2016,28.839349
11/04/2016,29.503444
12/04/2016,30.890979
13/04/2016,33.024698
14/04/2016,31.696935
15/04/2016,31.587352
16/04/2016,30.166435
17/04/2016,32.487588
18/04/2016,34.047394
19/04/2016,29.174646
20/04/2016,24.990253
21/04/2016,33.615218
22/04/2016,31.926032
23/04/2016,33.653021
24/04/2016,26.064818
25/04/2016,28.043908
26/04/2016,33.781385
27/04/2016,34.453393
28/04/2016,40.233366
29/04/2016,35.541910
30/04/2016,35.675866
01/05/2016,32.210435
02/05/2016,37.584866
03/05/2016,33.476228
04/05/2016,34.904975
05/05/2016,35.575382
06/05/2016,37.225556
07/05/2016,35.867592
08/05/2016,32.202636
09/05/2016,36.754190
10/05/2016,38.525881
11/05/2016,41.733682
12/05/2016,35.549262
13/05/2016,33.839608
14/05/2016,31.658196
15/05/2016,28.757897
