Year,Month,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit,YearMonth_Str
2025,1,176.51916356240548,25958905.992943548,7625503.998235887,29.375290315812002,-18333401.99470766,2025-01
2025,2,227.38712528773718,24417884.8828125,7445455.6640625,30.49181245548127,-16972429.21875,2025-02
2025,3,288.5058785715411,22761333.508064516,7103008.782762096,31.206470307398494,-15658324.72530242,2025-03
2025,4,246.1703135172526,22309038.140625,7269267.3515625,32.584405054761575,-15039770.7890625,2025-04
2025,5,222.89076479019658,22468375.614919357,7299256.844758065,32.48680265034933,-15169118.770161292,2025-05
2025,6,273.2134552001953,23501689.453125,7273539.09375,30.9490052119757,-16228150.359375,2025-06
2025,7,293.2657756190146,25564611.320564516,7186823.324092742,28.112390342940852,-18377787.996471774,2025-07
2025,8,276.43241193217614,23987971.769153226,7120016.945564516,29.681612993726862,-16867954.82358871,2025-08
2025,9,284.328173828125,23317379.53125,7085137.5,30.385650713899835,-16232242.03125,2025-09
2025,10,282.2864271594632,22818870.090725806,7075401.600302419,31.00680082831117,-15743468.490423387,2025-10
2025,11,276.5424296061198,22469683.734375004,7065020.7421875,31.442457427111687,-15404662.992187504,2025-11
2025,12,263.32383481917844,22533609.511088714,7038805.214213709,31.23691839405461,-15494804.296875004,2025-12
2026,1,226.30450291787423,23575818.356854837,7045248.402217742,29.88336733672401,-16530569.954637095,2026-01
2026,2,213.41776820591517,24069227.79575893,7042630.329241071,29.259893125786128,-17026597.46651786,2026-02
2026,3,310.39465430475053,22331987.918346774,7043130.635080645,31.53830577390911,-15288857.283266129,2026-03
2026,4,249.5205108642578,21079591.96875,7252591.570312501,34.40574931936205,-13827000.3984375,2026-04
2026,5,220.38236654958416,21011638.10987903,7291310.330141129,34.701294073368686,-13720327.779737903,2026-05
2026,6,275.59278869628906,23148384.796875,7275660.421875,31.43053170110255,-15872724.375,2026-06
2026,7,294.0197566863029,25669034.228830647,7178575.962701613,27.96589812731974,-18490458.26612903,2026-07
2026,8,277.96229602444555,23970803.180443548,7124585.693044355,29.721931465596075,-16846217.48739919,2026-08
2026,9,285.6913645426432,23707983.890625,7082909.296875,29.875628942348996,-16625074.59375,2026-09
2026,10,281.6727826518397,22952188.57862903,7071215.171370968,30.808457098313642,-15880973.407258064,2026-10
2026,11,283.1393320719401,22547041.3125,7066589.53125,31.341538046201688,-15480451.78125,2026-11
2026,12,262.5827882828251,22689474.405241936,7036661.930443548,31.01289084430211,-15652812.474798389,2026-12
2027,1,224.84969748220135,22835557.333669357,7030230.718245968,30.78633297852734,-15805326.615423389,2027-01
2027,2,224.69760404314314,22916283.19754464,7052790.5859375,30.776328452308398,-15863492.611607142,2027-02
2027,3,236.81297203802293,22593936.638104837,7106825.095766129,31.454567699284492,-15487111.542338708,2027-03
2027,4,239.45301106770833,22439675.4375,7282654.664062501,32.454367195935966,-15157020.7734375,2027-04
2027,5,229.33495946084298,22330800.40826613,7301237.34375,32.69581569072339,-15029563.06451613,2027-05
2027,6,248.16924845377605,24030351.46875,7293553.2890625,30.351421611736807,-16736798.1796875,2027-06
2027,7,300.31429659935736,25209515.231854837,7172204.107862904,28.450384872137803,-18037311.123991933,2027-07
2027,8,281.17303220687376,24012022.4546371,7127529.949596775,29.6831720987348,-16884492.505040325,2027-08
2027,9,285.2866444905599,23656183.5,7082224.546875,29.938153577794996,-16573958.953125,2027-09
2027,10,279.86819753339216,22625927.464717742,7065541.678427419,31.22763338406893,-15560385.786290323,2027-10
2027,11,278.94483540852866,23255147.015625,7079192.507812501,30.44140079207425,-16175954.5078125,2027-11
2027,12,264.35015869140625,22228249.037298385,7029001.7918346785,31.621931984117186,-15199247.245463707,2027-12
2028,1,226.82896226452243,22902885.680443548,7040891.975806452,30.74237925318979,-15861993.704637095,2028-01
2028,2,219.0400548474542,22896353.987068962,7056215.592672414,30.81807521257538,-15840138.394396547,2028-02
2028,3,251.96790387553554,22451202.12701613,7098640.6980846785,31.61808734305008,-15352561.428931452,2028-03
2028,4,233.18246765136718,22131404.578124996,7275750.0,32.875229289294445,-14855654.578124996,2028-04
2028,5,229.10860615391886,22588740.136088714,7305159.080141129,32.33982522323192,-15283581.055947585,2028-05
2028,6,263.2432266235352,24171497.0625,7283348.6953125,30.13197186951233,-16888148.3671875,2028-06
2028,7,295.3899959441154,25351238.876008064,7171291.383568548,28.287735438268157,-18179947.492439516,2028-07
2028,8,280.07711841214086,24408792.67137097,7126168.019153225,29.195086029435185,-17282624.652217742,2028-08
2028,9,283.8412658691406,23659966.125000004,7080139.2890625,29.924553787003777,-16579826.835937504,2028-09
2028,10,277.7715134159211,22812207.278225806,7073557.802419355,31.007774548721763,-15738649.47580645,2028-10
2028,11,280.43843434651694,23460454.359375004,7072532.5546875,30.14661372856683,-16387921.804687504,2028-11
2028,12,259.13826727098035,21931541.537298385,7018790.035282258,32.00317690092869,-14912751.502016127,2028-12
2029,1,226.07478824738533,23100888.719758064,7067787.482358871,30.595305523089383,-16033101.237399193,2029-01
2029,2,217.05079868861608,22951127.8125,7048576.305803571,30.711241571164383,-15902551.50669643,2029-02
2029,3,329.893558625252,22287227.389112905,7008323.815524193,31.445471853298773,-15278903.57358871,2029-03
2029,4,254.66808268229167,22207856.156250004,7250216.8125,32.6470811116973,-14957639.343750004,2029-04
2029,5,230.94319448163432,22661431.738911286,7311636.766633065,32.264672642366484,-15349794.97227822,2029-05
2029,6,262.3965021769206,23882958.421875004,7273566.8203125,30.455049545497083,-16609391.601562504,2029-06
