date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day,price_eur_mwh
2016-05-11,9022.708333333334,1479.7083333333333,1659.5416666666667,4964.583333333333,269.8333333333333,649.0416666666666,False,2016,5,11,41.733682
2016-05-12,12147.25,2412.9166666666665,3543.9583333333335,5244.791666666667,284.4583333333333,661.125,False,2016,5,12,35.549262
2016-05-13,12976.5,2224.9166666666665,4344.125,5464.958333333333,287.75,654.75,False,2016,5,13,33.839608
2016-05-14,12398.0,2338.9583333333335,3977.1666666666665,5139.458333333333,281.1666666666667,661.25,False,2016,5,14,31.658196
2016-05-15,11904.5,2460.2083333333335,3848.125,4675.291666666667,262.0833333333333,658.7916666666666,False,2016,5,15,28.757897
2016-05-16,11278.75,2955.9166666666665,1949.2916666666667,5463.375,251.375,658.7916666666666,False,2016,5,16,34.803882
2016-05-17,10086.791666666666,2735.0416666666665,1052.0416666666667,5378.041666666667,262.4583333333333,659.2083333333334,False,2016,5,17,35.871357
2016-05-18,10054.375,3167.5416666666665,649.75,5313.833333333333,263.7083333333333,659.5416666666666,False,2016,5,18,37.936311
2016-05-19,10960.291666666666,2030.7916666666667,2481.25,5525.166666666667,265.0833333333333,658.0,False,2016,5,19,37.739128
2016-05-20,11694.958333333334,2865.0833333333335,2565.7916666666665,5328.708333333333,273.875,661.5,False,2016,5,20,35.114346
2016-05-21,12899.166666666666,3322.25,4163.208333333333,4495.041666666667,255.70833333333334,662.9583333333334,False,2016,5,21,25.592288
2016-05-22,10167.458333333334,3530.0,1141.625,4614.958333333333,219.125,661.75,False,2016,5,22,28.656995
2016-05-23,12921.916666666666,2708.25,3610.7916666666665,5719.791666666667,220.25,662.8333333333334,False,2016,5,23,32.579072
2016-05-24,13262.291666666666,3066.75,3525.8333333333335,5759.333333333333,233.0,677.375,False,2016,5,24,29.981025
2016-05-25,11335.875,3344.2083333333335,1317.1666666666667,5758.041666666667,242.95833333333334,673.5,False,2016,5,25,34.600793
2016-05-26,10203.541666666666,3262.5,471.7916666666667,5538.458333333333,254.45833333333334,676.3333333333334,False,2016,5,26,39.841302
2016-05-27,10714.541666666666,3243.7083333333335,565.4166666666666,5953.0,272.875,679.5416666666666,False,2016,5,27,37.556606
2016-05-28,10257.083333333334,3054.1666666666665,776.6666666666666,5486.0,260.9583333333333,679.2916666666666,False,2016,5,28,31.579607
2016-05-29,10858.333333333334,1907.5833333333333,2047.3333333333333,5995.625,237.08333333333334,670.7083333333334,False,2016,5,29,31.586719
2016-05-30,13590.875,2990.9583333333335,3048.4166666666665,6637.458333333333,250.125,663.9166666666666,False,2016,5,30,40.126005
2016-05-31,13033.708333333334,2941.4166666666665,2403.4166666666665,6790.458333333333,239.875,658.5416666666666,False,2016,5,31,38.792665
2016-06-01,11453.208333333334,2136.7916666666665,1362.2916666666667,7025.333333333333,251.41666666666666,677.375,False,2016,6,1,42.196417
2016-06-02,12726.25,2512.9583333333335,2724.2916666666665,6573.166666666667,235.58333333333334,680.25,False,2016,6,2,33.531614
2016-06-03,11710.083333333334,2541.2083333333335,1378.7916666666667,6857.125,257.625,675.3333333333334,False,2016,6,3,40.007567
2016-06-04,10813.5,2617.0,642.4166666666666,6619.583333333333,259.125,675.375,False,2016,6,4,37.853042
2016-06-05,10558.208333333334,2595.9166666666665,548.125,6477.125,260.9166666666667,676.125,False,2016,6,5,36.55372
2016-06-06,11329.958333333334,2974.9166666666665,587.75,6830.083333333333,266.4583333333333,670.75,False,2016,6,6,38.023907
2016-06-07,12119.458333333334,3220.625,1071.2916666666667,6857.916666666667,291.9166666666667,677.7083333333334,False,2016,6,7,40.84565
2016-06-08,11680.041666666666,2993.25,889.75,6861.458333333333,262.5833333333333,673.0,False,2016,6,8,39.1305
2016-06-09,11114.916666666666,2081.5,1089.875,7005.458333333333,260.5416666666667,677.5416666666666,False,2016,6,9,41.414504
2016-06-10,11290.958333333334,2676.9166666666665,367.0416666666667,7270.041666666667,301.4166666666667,675.5416666666666,False,2016,6,10,40.724513
2016-06-11,11991.791666666666,2794.2916666666665,1372.125,6876.458333333333,292.375,656.5416666666666,False,2016,6,11,32.267872
2016-06-12,12366.833333333334,2210.7083333333335,2541.875,6655.25,286.75,672.25,False,2016,6,12,29.658325
2016-06-13,13782.125,3033.625,2458.4583333333335,7319.25,302.2083333333333,668.5833333333334,False,2016,6,13,34.840717
2016-06-14,14288.625,2698.5,3044.9166666666665,7570.666666666667,296.4166666666667,678.125,False,2016,6,14,32.878832
2016-06-15,14564.5,3205.0,2733.625,7664.625,282.5833333333333,678.6666666666666,False,2016,6,15,37.896653
2016-06-16,14215.291666666666,2220.5416666666665,3344.4166666666665,7722.75,274.8333333333333,652.75,False,2016,6,16,34.096806
2016-06-17,13840.125,3007.2083333333335,2394.9583333333335,7486.0,270.9583333333333,681.0,False,2016,6,17,31.645413
2016-06-18,12097.958333333334,3166.5,959.2083333333334,7024.583333333333,266.875,680.7916666666666,False,2016,6,18,31.109341
2016-06-19,11647.458333333334,2454.4583333333335,1356.2083333333333,6909.083333333333,251.95833333333334,675.75,False,2016,6,19,29.206695
2016-06-20,11986.875,2772.5,842.6666666666666,7460.875,238.16666666666666,672.6666666666666,False,2016,6,20,35.221276
2016-06-21,12346.041666666666,3107.625,863.2916666666666,7452.833333333333,249.66666666666666,672.625,False,2016,6,21,36.360121
2016-06-22,13175.875,3219.0416666666665,1634.6666666666667,7407.458333333333,244.41666666666666,670.2916666666666,False,2016,6,22,39.784002
2016-06-23,13859.0,3042.7916666666665,2576.375,7371.458333333333,225.29166666666666,643.0833333333334,False,2016,6,23,36.760661
2016-06-24,13322.291666666666,3034.4583333333335,1816.5416666666667,7587.208333333333,235.04166666666666,649.0416666666666,False,2016,6,24,45.400179
2016-06-25,11879.875,2963.375,1036.5,6973.541666666667,251.5,654.9583333333334,False,2016,6,25,32.060367
2016-06-26,11297.166666666666,2946.7916666666665,879.125,6567.875,246.66666666666666,656.7083333333334,False,2016,6,26,31.100921
2016-06-27,13796.75,2981.2083333333335,2666.0,7250.333333333333,240.875,658.3333333333334,False,2016,6,27,39.678351
2016-06-28,13602.0,3322.2916666666665,2131.375,7228.75,261.9583333333333,657.625,False,2016,6,28,37.209725
2016-06-29,12342.291666666666,3273.0416666666665,768.0833333333334,7366.541666666667,277.5416666666667,657.0833333333334,False,2016,6,29,38.890053
2016-06-30,11457.541666666666,3026.0416666666665,480.5416666666667,7024.125,284.25,642.5833333333334,False,2016,6,30,47.424306
2016-07-01,11149.791666666666,3104.2916666666665,229.33333333333334,6882.416666666667,286.7916666666667,646.9583333333334,False,2016,7,1,41.251936
2016-07-02,10519.25,2992.875,489.75,6104.083333333333,273.75,658.7916666666666,False,2016,7,2,44.477247
2016-07-03,11018.625,3096.4166666666665,1177.2083333333333,5813.208333333333,275.1666666666667,656.625,False,2016,7,3,35.164609
2016-07-04,11484.166666666666,2948.75,804.5416666666666,6814.25,267.5416666666667,649.0833333333334,False,2016,7,4,46.174587
2016-07-05,11294.083333333334,3090.8333333333335,446.8333333333333,6834.541666666667,278.0833333333333,643.7916666666666,False,2016,7,5,45.036513
2016-07-06,11424.875,2982.375,645.5,6883.625,268.125,645.25,False,2016,7,6,44.984172
2016-07-07,11673.0,3160.9583333333335,779.5,6837.625,262.8333333333333,632.0833333333334,False,2016,7,7,45.965893
