Year,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit
2025,259.3819797881662,286017950.484375,87772500.57421875,30.687759431033935,-198245449.91015625
2026,265.38879716428994,280555257.515625,86701291.5234375,30.903463471401473,-193853965.9921875
2027,257.9861584389046,282000430.59375,86813885.9296875,30.785018926000024,-195186544.6640625
2028,258.4756197069512,282643593.5527664,86790645.3163422,30.70674421641875,-195852948.23642418
2029,267.7199330787136,282451260.09375006,86691633.2109375,30.69259920531534,-195759626.88281256
