date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2020-03-14,6677.416666666667,1422.4583333333333,872.1666666666666,3100.25,612.5,670.0416666666666,False,2020,3,14
2020-03-15,9885.125,2778.2916666666665,3072.6666666666665,2743.75,615.25,675.1666666666666,False,2020,3,15
2020-03-16,9500.083333333334,2906.625,1984.9583333333333,3332.8333333333335,604.9583333333334,670.7083333333334,False,2020,3,16
2020-03-17,7668.125,2610.375,796.7916666666666,2993.9583333333335,598.7916666666666,668.2083333333334,False,2020,3,17
2020-03-18,8462.875,2791.4166666666665,1456.7916666666667,2908.5,638.7916666666666,667.375,False,2020,3,18
2020-03-19,8193.166666666666,2994.8333333333335,705.0833333333334,3187.375,640.0,665.875,False,2020,3,19
2020-03-20,7949.291666666667,2691.5,711.375,3267.2916666666665,614.4166666666666,664.7083333333334,False,2020,3,20
2020-03-21,7476.708333333333,2496.0416666666665,817.5,2833.8333333333335,666.75,662.5833333333334,False,2020,3,21
2020-03-22,7916.0,1731.2083333333333,2035.75,2828.7916666666665,657.7083333333334,662.5416666666666,False,2020,3,22
2020-03-23,11896.041666666666,2578.9166666666665,4843.416666666667,3149.4166666666665,650.9583333333334,673.3333333333334,False,2020,3,23
2020-03-24,10358.833333333334,2572.75,3089.7916666666665,3346.7916666666665,674.125,675.375,False,2020,3,24
2020-03-25,9678.625,1672.3333333333333,3409.6666666666665,3237.5416666666665,683.4166666666666,675.6666666666666,False,2020,3,25
2020-03-26,10413.791666666666,844.8333333333334,4679.791666666667,3529.625,683.5416666666666,676.0,False,2020,3,26
2020-03-27,8839.416666666666,1351.2916666666667,2059.5416666666665,4076.75,685.75,666.0833333333334,False,2020,3,27
2020-03-28,8338.041666666666,2473.2083333333335,732.0,3780.375,685.9166666666666,666.5416666666666,False,2020,3,28
2020-03-29,7767.833333333333,2779.1666666666665,314.9583333333333,3380.6666666666665,655.3333333333334,637.7083333333334,False,2020,3,29
2020-03-30,7675.875,2285.9583333333335,327.125,3726.9166666666665,671.375,664.5,False,2020,3,30
2020-03-31,9227.625,2297.1666666666665,2003.0416666666667,3579.0833333333335,678.6666666666666,669.6666666666666,False,2020,3,31
2020-04-01,12001.416666666666,3282.7083333333335,3775.25,3607.7083333333335,663.9166666666666,671.8333333333334,False,2020,4,1
2020-04-02,9041.041666666666,3223.125,939.7916666666666,3522.25,688.0416666666666,667.8333333333334,False,2020,4,2
2020-04-03,9028.75,3022.7916666666665,1253.875,3450.25,639.5416666666666,662.2916666666666,False,2020,4,3
2020-04-04,11876.25,3540.7083333333335,3845.5,3182.9166666666665,640.7916666666666,666.3333333333334,False,2020,4,4
2020-04-05,10707.125,3344.2083333333335,3052.5416666666665,2971.9166666666665,675.0,663.4583333333334,False,2020,4,5
2020-04-06,9421.875,3321.375,1345.5,3440.4583333333335,650.375,664.1666666666666,False,2020,4,6
2020-04-07,10014.5,3556.0416666666665,1273.5833333333333,3887.7916666666665,638.125,658.9583333333334,False,2020,4,7
2020-04-08,9443.5,3699.0,865.75,3576.7083333333335,637.75,664.2916666666666,False,2020,4,8
2020-04-09,9354.208333333334,3764.875,522.5,3775.7916666666665,629.9583333333334,661.0833333333334,False,2020,4,9
2020-04-10,10000.041666666666,3756.4583333333335,935.75,3981.5416666666665,663.9166666666666,662.375,False,2020,4,10
2020-04-11,9654.166666666666,3696.0833333333335,668.2083333333334,3981.0833333333335,643.3333333333334,665.4583333333334,False,2020,4,11
2020-04-12,9024.125,3610.9583333333335,334.4166666666667,3754.0416666666665,660.0833333333334,664.625,False,2020,4,12
2020-04-13,10049.0,2952.7083333333335,1774.4166666666667,3979.9583333333335,679.75,662.1666666666666,False,2020,4,13
2020-04-14,10861.75,2235.7916666666665,2762.1666666666665,4545.25,659.75,658.7916666666666,False,2020,4,14
2020-04-15,12916.125,3633.9166666666665,3211.2083333333335,4763.083333333333,655.7083333333334,652.2083333333334,False,2020,4,15
2020-04-16,10398.5,3428.8333333333335,920.375,4710.25,676.4166666666666,662.625,False,2020,4,16
2020-04-17,10727.583333333334,3413.2916666666665,544.9166666666666,5414.916666666667,694.5833333333334,659.875,False,2020,4,17
2020-04-18,9877.958333333334,3026.9166666666665,481.2916666666667,5033.041666666667,684.2083333333334,652.5,False,2020,4,18
2020-04-19,9412.666666666666,2636.125,870.125,4556.0,692.7083333333334,657.7083333333334,False,2020,4,19
2020-04-20,10370.875,745.0416666666666,2257.5833333333335,6024.875,687.3333333333334,656.0416666666666,False,2020,4,20
2020-04-21,10736.583333333334,1215.9166666666667,2291.5416666666665,5897.125,675.25,656.75,False,2020,4,21
2020-04-22,11165.416666666666,1989.625,1857.1666666666667,5995.875,658.7916666666666,663.9583333333334,False,2020,4,22
2020-04-23,11718.166666666666,2999.875,1597.4583333333333,5791.416666666667,666.25,663.1666666666666,False,2020,4,23
2020-04-24,11656.666666666666,3731.375,610.5833333333334,5972.583333333333,680.2083333333334,661.9166666666666,False,2020,4,24
2020-04-25,12186.291666666666,3766.2083333333335,1929.2083333333333,5166.833333333333,662.7916666666666,661.25,False,2020,4,25
2020-04-26,10591.708333333334,3361.4583333333335,793.7083333333334,5114.25,661.3333333333334,660.9583333333334,False,2020,4,26
