date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,False,2015,1,1
2015-01-02,7786.625,1257.3333333333333,2150.625,3466.75,277.75,634.1666666666666,False,2015,1,2
2015-01-03,8563.208333333334,1085.5416666666667,3378.4583333333335,3140.25,287.4166666666667,671.5416666666666,False,2015,1,3
2015-01-04,9120.958333333334,1147.9583333333333,3919.25,3094.625,286.375,672.75,False,2015,1,4
2015-01-05,9848.583333333334,1381.4583333333333,3941.2916666666665,3547.5416666666665,297.2083333333333,681.0833333333334,False,2015,1,5
2015-01-06,7990.5,1231.2916666666667,2677.625,3108.1666666666665,299.6666666666667,673.75,False,2015,1,6
2015-01-07,6569.541666666667,1087.0,435.75,4062.0833333333335,309.875,674.8333333333334,False,2015,1,7
2015-01-08,6506.375,1008.0833333333334,421.125,4093.1666666666665,307.9166666666667,676.0833333333334,False,2015,1,8
2015-01-09,7751.291666666667,941.1666666666666,2152.8333333333335,3685.4166666666665,295.0833333333333,676.7916666666666,False,2015,1,9
2015-01-10,8991.291666666666,956.4583333333334,4186.041666666667,2867.3333333333335,308.1666666666667,673.2916666666666,False,2015,1,10
2015-01-11,9192.166666666666,903.5416666666666,4706.25,2604.3333333333335,303.0416666666667,675.0,False,2015,1,11
2015-01-12,8555.041666666666,1560.375,2032.3333333333333,3972.2083333333335,315.0416666666667,675.0833333333334,False,2015,1,12
2015-01-13,7797.583333333333,1460.0416666666667,1404.8333333333333,3953.7916666666665,303.7083333333333,675.2083333333334,False,2015,1,13
2015-01-14,8096.125,1142.25,2111.8333333333335,3857.8333333333335,311.0416666666667,673.1666666666666,False,2015,1,14
2015-01-15,8031.291666666667,1199.5,1658.25,4185.416666666667,316.7083333333333,671.4166666666666,False,2015,1,15
2015-01-16,8373.125,942.3333333333334,1801.7083333333333,4644.333333333333,315.9166666666667,668.8333333333334,False,2015,1,16
2015-01-17,8717.5,826.5833333333334,2907.9166666666665,4000.6666666666665,332.375,649.9583333333334,False,2015,1,17
2015-01-18,7044.083333333333,826.5833333333334,1728.8333333333333,3485.375,324.625,678.6666666666666,False,2015,1,18
2015-01-19,7702.375,1081.6666666666667,952.625,4701.375,288.375,678.3333333333334,False,2015,1,19
2015-01-20,7267.416666666667,488.625,1013.4166666666666,4821.958333333333,266.3333333333333,677.0833333333334,False,2015,1,20
2015-01-21,7689.666666666667,692.9583333333334,1299.75,4756.291666666667,276.2083333333333,664.4583333333334,False,2015,1,21
2015-01-22,8021.708333333333,508.8333333333333,1845.25,4763.833333333333,254.54166666666666,649.25,False,2015,1,22
2015-01-23,8766.625,725.625,2337.6666666666665,4772.375,267.875,663.0833333333334,False,2015,1,23
2015-01-24,8845.583333333334,1127.4166666666667,3006.625,3747.7083333333335,284.8333333333333,679.0,False,2015,1,24
2015-01-25,7574.25,1092.5833333333333,2455.9166666666665,3058.2083333333335,287.1666666666667,680.375,False,2015,1,25
2015-01-26,9242.083333333334,1317.0,2631.9583333333335,4369.791666666667,255.875,667.4583333333334,False,2015,1,26
2015-01-27,8289.291666666666,1251.0833333333333,1696.2083333333333,4393.291666666667,273.3333333333333,675.375,False,2015,1,27
2015-01-28,9889.958333333334,1410.8333333333333,3306.2083333333335,4231.291666666667,265.3333333333333,676.2916666666666,False,2015,1,28
2015-01-29,10030.666666666666,882.4166666666666,3756.4166666666665,4461.5,264.6666666666667,665.6666666666666,False,2015,1,29
2015-01-30,12059.083333333334,605.0416666666666,5694.208333333333,4822.75,264.9166666666667,672.1666666666666,False,2015,1,30
2015-01-31,8726.583333333334,1090.4583333333333,2400.125,4287.666666666667,272.125,676.2083333333334,False,2015,1,31
2015-02-01,9764.25,1164.25,4538.166666666667,3126.1666666666665,261.0416666666667,674.625,False,2015,2,1
2015-02-02,9707.583333333334,1512.7916666666667,2753.3333333333335,4507.083333333333,261.6666666666667,672.7083333333334,False,2015,2,2
2015-02-03,9403.291666666666,841.375,2700.4583333333335,4919.291666666667,267.875,674.2916666666666,False,2015,2,3
2015-02-04,10214.166666666666,880.7916666666666,3720.5416666666665,4708.708333333333,260.125,644.0,False,2015,2,4
2015-02-05,9516.125,463.625,3067.3333333333335,5042.875,268.625,673.6666666666666,False,2015,2,5
2015-02-06,9918.5,627.4583333333334,3215.2916666666665,5144.25,254.75,676.75,False,2015,2,6
2015-02-07,7673.291666666667,865.9166666666666,1234.875,4602.583333333333,295.875,674.0416666666666,False,2015,2,7
2015-02-08,8512.125,1425.7916666666667,2490.125,3622.8333333333335,298.6666666666667,674.7083333333334,False,2015,2,8
2015-02-09,12836.083333333334,1761.0,5280.916666666667,4848.125,289.125,656.9166666666666,False,2015,2,9
2015-02-10,12277.583333333334,1864.375,4767.916666666667,4705.5,277.5,662.2916666666666,False,2015,2,10
2015-02-11,10029.791666666666,1960.75,2501.0,4623.541666666667,280.75,663.75,False,2015,2,11
2015-02-12,7945.541666666667,1668.7083333333333,489.9583333333333,4851.5,274.2916666666667,661.0833333333334,False,2015,2,12
2015-02-13,7558.541666666667,1449.1666666666667,278.1666666666667,4870.916666666667,297.2083333333333,663.0833333333334,False,2015,2,13
