date,demand_mw,is_outlier,year,month,day
2024-01-01,21654.125,False,2024,1,1
2024-01-02,27207.333333333332,False,2024,1,2
2024-01-03,28124.416666666668,False,2024,1,3
2024-01-04,28294.041666666668,False,2024,1,4
2024-01-05,29019.041666666668,False,2024,1,5
2024-01-06,25152.166666666668,False,2024,1,6
2024-01-07,24652.916666666668,False,2024,1,7
2024-01-08,33450.625,False,2024,1,8
2024-01-09,35859.375,False,2024,1,9
2024-01-10,36529.75,False,2024,1,10
2024-01-11,36476.166666666664,False,2024,1,11
2024-01-12,36544.75,False,2024,1,12
2024-01-13,30516.916666666668,False,2024,1,13
2024-01-14,27852.125,False,2024,1,14
2024-01-15,35764.75,False,2024,1,15
2024-01-16,36884.75,False,2024,1,16
2024-01-17,37554.916666666664,False,2024,1,17
2024-01-18,36167.958333333336,False,2024,1,18
2024-01-19,35954.416666666664,False,2024,1,19
2024-01-20,30519.208333333332,False,2024,1,20
2024-01-21,27610.5,False,2024,1,21
2024-01-22,36070.041666666664,False,2024,1,22
2024-01-23,36787.958333333336,False,2024,1,23
2024-01-24,36676.958333333336,False,2024,1,24
2024-01-25,36081.958333333336,False,2024,1,25
2024-01-26,36173.458333333336,False,2024,1,26
2024-01-27,29588.166666666668,False,2024,1,27
2024-01-28,26828.041666666668,False,2024,1,28
2024-01-29,35043.583333333336,False,2024,1,29
2024-01-30,36793.541666666664,False,2024,1,30
2024-01-31,36822.5,False,2024,1,31
2024-02-01,37090.291666666664,False,2024,2,1
2024-02-02,35846.875,False,2024,2,2
2024-02-03,29826.25,False,2024,2,3
2024-02-04,26338.083333333332,False,2024,2,4
2024-02-05,33581.0,False,2024,2,5
2024-02-06,35416.916666666664,False,2024,2,6
2024-02-07,35783.083333333336,False,2024,2,7
2024-02-08,35163.708333333336,False,2024,2,8
2024-02-09,35738.291666666664,False,2024,2,9
2024-02-10,29898.0,False,2024,2,10
2024-02-11,26055.166666666668,False,2024,2,11
2024-02-12,33667.083333333336,False,2024,2,12
2024-02-13,34591.5,False,2024,2,13
2024-02-14,34669.041666666664,False,2024,2,14
2024-02-15,34340.166666666664,False,2024,2,15
